Title suggested topic;percent (12 responses)
Building and running Docker containers;69
Data Visualisations with Python and Matplotlib;59
Introduction to Apache Spark with Scala;56
Getting started with TypeScript (it's the better JavaScript);56
Introduction to Apache Spark with Python;54
Big Data with Python Jupyter Notebook on Google Bigquery and Cloud Datalab;54
Introduction to Scala & SBT;52
Other stuff (somebody else presents);49
Data Visualisation in the Web with D3.js;48
Geodata and Web maps with Leaflet.js;47
Google Appengine with Python and Flask;47
